"000"	2
"096563"	1
"1"	12
"10"	3
"100"	4
"101"	1
"108"	1
"10th"	1
"11"	3
"1176"	1
"11th"	2
"12"	4
"123"	1
"1290"	1
"12th"	1
"13"	3
"1300"	1
"130th"	1
"1338"	1
"1351"	1
"1360"	1
"13th"	1
"14"	4
"1400"	1
"1494"	1
"1496"	1
"1499"	1
"14th"	1
"15"	2
"150"	1
"1533"	1
"1556"	1
"1558"	1
"1565"	1
"1580"	2
"15th"	1
"1600"	1
"1607"	2
"1610"	1
"1620"	1
"1632"	1
"1635"	1
"1655"	1
"1656"	1
"16610"	1
"1670"	1
"1674"	1
"1690"	1
"1692"	1
"1694"	2
"16th"	3
"17"	3
"1700"	2
"1703"	1
"1710"	1
"1728"	1
"1743"	1
"1760"	1
"1765"	1
"1768"	1
"1771"	1
"1774"	1
"1775"	4
"1776"	1
"1778"	1
"1780"	1
"1783"	1
"1787"	2
"1789"	1
"1795"	1
"1798"	1
"1799"	2
"17th"	4
"18"	4
"1800"	6
"1801"	1
"1802"	1
"1803"	2
"1804"	1
"1805"	1
"1806"	1
"1812"	1
"1815"	4
"1817"	1
"1820"	2
"1821"	1
"1826"	1
"1828"	1
"1833"	3
"1835"	2
"1838"	1
"184"	1
"1840"	1
"1843"	2
"1845"	1
"1846"	2
"1847"	2
"1848"	7
"1849"	2
"1850"	2
"1851"	1
"1852"	1
"1853"	1
"1854"	3
"1856"	2
"1857"	3
"1859"	3
"1860"	7
"1861"	2
"1863"	3
"1865"	2
"1866"	1
"1867"	2
"1870"	3
"1872"	1
"1873"	3
"1874"	2
"1875"	2
"1876"	3
"1878"	2
"1883"	1
"1884"	1
"1885"	1
"1887"	3
"1890"	1
"1891"	1
"1892"	1
"1893"	1
"1894"	2
"1895"	3
"1896"	2
"1897"	2
"1898"	2
"1899"	2
"19"	1
"1900"	5
"1901"	1
"1902"	1
"1903"	1
"1904"	5
"1905"	4
"1906"	4
"1907"	4
"1908"	1
"1909"	1
"1910"	2
"1911"	1
"1912"	1
"1913"	2
"1914"	1
"1915"	4
"1916"	2
"1917"	2
"1918"	1
"1919"	4
"1920"	4
"1921"	5
"1922"	1
"1923"	3
"1924"	2
"1925"	4
"1926"	3
"1927"	2
"1928"	1
"1929"	6
"1930"	3
"1931"	1
"1932"	3
"1934"	4
"1935"	7
"1936"	8
"1937"	3
"1938"	3
"1939"	6
"1940"	2
"1941"	1
"1943"	4
"1945"	7
"1946"	7
"1947"	5
"1948"	6
"1949"	5
"1950"	3
"1951"	5
"1952"	3
"1953"	6
"1954"	1
"1955"	2
"1956"	2
"1957"	3
"1958"	2
"1959"	2
"1960"	5
"1961"	2
"1962"	4
"1963"	3
"1964"	4
"1965"	5
"1966"	12
"1967"	6
"1968"	11
"1969"	3
"1970"	15
"1970s"	1
"1971"	6
"1972"	10
"1973"	4
"1974"	6
"1975"	13
"1976"	8
"1977"	2
"1978"	3
"1979"	3
"1980"	9
"1981"	4
"1982"	6
"1983"	1
"1984"	1
"1990"	1
"1993"	1
"1995"	1
"19th"	1
"1st"	4
"2"	10
"20"	4
"200"	2
"2000"	3
"2005"	1
"20th"	1
"21"	3
"21st"	2
"22"	4
"2341"	1
"24"	1
"24th"	1
"250"	1
"25th"	2
"26"	1
"265"	1
"2690"	1
"27"	2
"2750"	1
"28"	4
"28th"	1
"29"	3
"29th"	2
"2nd"	2
"3"	6
"30"	5
"30th"	6
"31"	1
"3119"	1
"31st"	3
"35"	2
"37"	1
"3rd"	1
"4"	4
"401"	1
"41"	1
"432"	1
"44th"	1
"460"	1
"4th"	2
"5"	2
"50"	2
"500"	1
"53"	1
"54"	2
"55"	1
"550"	1
"5540"	1
"5640"	1
"565"	1
"5651"	2
"5652"	1
"5661"	1
"5662"	1
"5664"	1
"5685"	1
"5751"	1
"58"	1
"59"	1
"5th"	2
"6"	3
"61"	1
"64"	1
"66"	1
"67"	1
"684"	1
"69"	2
"6th"	2
"7"	2
"70"	1
"709"	1
"72"	2
"72nd"	1
"73"	1
"74"	1
"75"	1
"76"	1
"7th"	1
"8"	1
"80"	2
"81"	2
"83"	1
"8th"	1
"9"	3
"900"	1
"9000"	1
"960"	1
"974"	1
"9b"	1
"9th"	3
"a"	342
"aaci"	1
"aaje"	1
"ab"	1
"ababa"	2
"abandoned"	1
"abbey"	1
"abbreviated"	1
"abbreviations"	2
"abc"	2
"abel"	1
"abelard"	1
"abhidharma"	1
"abhorrence"	1
"abolition"	2
"aboriginal"	1
"abortion"	1
"about"	3
"abraham"	7
"abrams"	1
"abridged"	2
"abroad"	2
"absorption"	2
"abstract"	2
"abstracts"	1
"abu"	2
"abundance"	1
"abuse"	3
"abyss"	1
"academiae"	1
"academic"	1
"academie"	1
"academy"	10
"acadia"	1
"acadian"	2
"access"	1
"accessions"	1
"accessories"	2
"accidence"	1
"accident"	1
"accommodations"	1
"accompany"	4
"according"	2
"accords"	1
"account"	10
"accountancy"	1
"accounts"	5
"accredited"	2
"accusation"	1
"accuse"	1
"achievements"	1
"achilles"	1
"acid"	1
"acidic"	1
"acquisition"	2
"acquisitions"	1
"acre"	1
"across"	1
"act"	23
"acta"	4
"actfive"	1
"acting"	1
"action"	12
"actions"	2
"activism"	1
"activities"	5
"activity"	5
"actor"	2
"actress"	1
"acts"	6
"ad"	1
"adams"	2
"adaptability"	1
"adaptable"	1
"adapted"	1
"adath"	2
"add"	1
"added"	1
"addis"	1
"additions"	1
"address"	20
"addressed"	1
"addresses"	10
"adel"	1
"adis"	1
"adjacent"	1
"adlai"	1
"administered"	3
"administration"	14
"administrative"	7
"admission"	3
"ado"	1
"adolescents"	1
"adolph"	1
"adopted"	3
"adorning"	1
"advancing"	1
"advantages"	3
"adven"	1
"adventure"	1
"adventurer"	1
"adventures"	5
"advertisements"	1
"advertising"	1
"advice"	1
"advisability"	1
"advisory"	3
"aegypt"	1
"aeration"	1
"aerial"	7
"aeronautical"	1
"aerospace"	1
"aesop"	1
"aesthetics"	2
"afco"	2
"affairs"	7
"affecting"	2
"affirmative"	1
"afford"	1
"affording"	1
"afghanistan"	2
"africa"	18
"africaine"	1
"african"	16
"africana"	1
"africasia"	1
"afro"	1
"after"	5
"aftermath"	1
"afternoon"	1
"afterward"	1
"aga"	1
"again"	1
"against"	17
"age"	5
"agencies"	3
"agency"	1
"agenda"	1
"ages"	5
"aggawam"	1
"aggression"	2
"aging"	3
"agnes"	1
"agno"	2
"ago"	1
"agony"	1
"agraria"	1
"agrarian"	3
"agreement"	2
"agreements"	1
"agricultural"	13
"agriculture"	10
"ahasuerus"	1
"ahead"	3
"aid"	4
"aila"	2
"aims"	1
"aipac"	1
"air"	11
"airphoto"	2
"airport"	3
"ajdc"	1
"ajl"	1
"akhter"	1
"al"	3
"ala"	1
"alabama"	1
"aladdin"	1
"alarm"	1
"alaska"	2
"alastair"	1
"albania"	2
"albanian"	1
"albert"	2
"alberta"	1
"albizu"	1
"albizzia"	1
"album"	4
"albury"	1
"alcippe"	1
"alcoa"	1
"alcon"	1
"alcoran"	1
"aldus"	1
"ale"	1
"alert"	1
"alex"	1
"alexander"	5
"alexr"	1
"alfred"	2
"algerienne"	1
"ali"	1
"alienation"	1
"all"	4
"allahabad"	1
"allan"	2
"allee"	1
"allegheny"	2
"allegorick"	1
"alleine"	1
"alliance"	4
"allied"	5
"allium"	1
"allocation"	1
"alloway"	1
"almon"	1
"alms"	2
"along"	2
"alphabet"	4
"alphabets"	1
"alps"	1
"alternative"	2
"alternatives"	1
"alton"	1
"aluminum"	3
"alumnae"	1
"always"	1
"am"	1
"amateur"	1
"amateurs"	1
"amazon"	1
"amb"	1
"ambastone"	1
"ambedkar"	1
"ambler"	1
"amc"	1
"amend"	1
"amended"	1
"amendments"	2
"america"	49
"american"	121
"americana"	2
"americanism"	1
"americanist"	1
"americanization"	1
"americans"	3
"ames"	1
"amherst"	4
"amnesty"	1
"amsterdam"	1
"an"	61
"anais"	1
"analysis"	13
"analytical"	2
"analyze"	1
"anarchy"	2
"anatomical"	1
"anatomy"	1
"ancestors"	1
"anchor"	1
"anchorage"	2
"ancient"	12
"and"	2
"andirons"	1
"andon"	1
"andorra"	2
"andover"	1
"andreas"	1
"andrej"	1
"andrew"	3
"anesthesiology"	1
"ang"	1
"angela"	1
"angeles"	5
"anglii"	1
"anglo"	6
"animals"	2
"ankoko"	1
"anlo"	1
"anna"	2
"annals"	3
"anniversary"	9
"annotated"	3
"announcement"	3
"announcements"	1
"announces"	4
"announcing"	1
"annoying"	1
"annual"	66
"annuals"	1
"another"	3
"answer"	4
"answered"	1
"answers"	6
"antecedents"	1
"anthology"	4
"anthony"	1
"anthropological"	1
"anthropology"	1
"anti"	16
"antigua"	1
"antijewish"	1
"antioch"	1
"antiqua"	2
"antiquarian"	1
"antiques"	2
"antiquities"	2
"antisemitic"	1
"antisemitism"	1
"antisocinus"	1
"antitrust"	2
"antoinette"	1
"ants"	1
"antuerpiam"	1
"antwerp"	1
"anu"	1
"anvil"	1
"apache"	1
"apartheid"	1
"apathetic"	1
"ape"	1
"apes"	1
"aphrodite"	1
"apocalypse"	1
"apocalyptic"	1
"apollo"	1
"apologia"	1
"apology"	1
"apostles"	1
"apostolical"	1
"appa"	1
"appalachian"	3
"appalachians"	1
"apparatus"	2
